env,learning_rate,bias,mean_ht,std_ht
balanced,0.9,0.3,0.49974616643255604,0.07882306370714694
balanced,0.9,0.4,0.49981174899880954,0.06576219854204696
balanced,0.9,0.5,0.4999765575419293,0.055215159415602504
balanced,0.9,0.6,0.4998892219935267,0.04490027154193252
balanced,0.9,0.7,0.5001673862947593,0.03470955786101965
balanced,0.9,0.8,0.5001244121982256,0.026842916550014518
balanced,0.9,0.9,0.5002642643477219,0.021478225018668886
balanced,0.9,1.0,0.5009735293739883,0.022425463523290775
balanced,1.0,0.0,0.5009829318211748,0.11213428018606042
balanced,1.0,0.1,0.4995376272615031,0.09390419041828352
balanced,1.0,0.2,0.49937949797325065,0.08763983496176128
balanced,1.0,0.3,0.49970504746702277,0.07060295691522944
balanced,1.0,0.4,0.5003833142805495,0.06515827000989095
balanced,1.0,0.5,0.4999804734283619,0.05277586271520076
balanced,1.0,0.6,0.5000838655116566,0.03924294298162878
balanced,1.0,0.7,0.49939894624653874,0.035178508020737916
balanced,1.0,0.8,0.5008533235838221,0.027099438051668187
balanced,1.0,0.9,0.5006354590581674,0.021151086080743595
balanced,1.0,1.0,0.5000727061218555,0.01920818133287477
