bootstrap,env,bias,mae_base,w_ht,w_hn,w_ut,w_un,mae_full,delta_mae_full
51,unhealthy,0.89,0.1597372592857322,0.231162632117286,0.3068530514831231,0.3068530514831231,0.1551312649164677,0.1744035512887061,0.0146662920029738
51,balanced,0.08,0.1269358045590617,0.3318649045521292,0.2227116984826236,0.2227116984826236,0.2227116984826236,0.1451003243726684,0.0181645198136067
52,healthy,0.71,0.1503772323127952,0.231162632117286,0.1551312649164677,0.3068530514831231,0.3068530514831231,0.1733814517598307,0.0230042194470355
52,unhealthy,0.87,0.1897097444360503,0.2227116984826236,0.4405286343612334,0.2227116984826236,0.1140479686735193,0.2015755637610787,0.0118658193250283
52,balanced,0.02,0.1514568502754728,0.2226027397260273,0.1139921722113502,0.3317025440313111,0.3317025440313111,0.1646388379560881,0.0131819876806152
53,healthy,0.99,0.1524840153615838,0.3617363344051447,0.0936495176848874,0.1828778135048231,0.3617363344051447,0.1593306162120601,0.0068466008504762
53,unhealthy,0.88,0.1327956757361163,0.1551312649164677,0.3068530514831231,0.3068530514831231,0.231162632117286,0.1813294264307604,0.048533750694644
53,balanced,0.3,0.1200412072954321,0.2007943512797881,0.3971756398940865,0.1028243601059135,0.2992056487202118,0.1207689801536807,0.0007277728582485
54,healthy,0.98,0.1555128415596528,0.3068530514831231,0.0794408455506307,0.3068530514831231,0.3068530514831231,0.166313717366047,0.0108008758063942
54,unhealthy,0.86,0.1620665065984836,0.3068530514831231,0.3068530514831231,0.3068530514831231,0.0794408455506307,0.2151523726264251,0.0530858660279414
54,balanced,0.17,0.1453375732222881,0.2723985536359984,0.3615910004017678,0.0936118923262354,0.2723985536359984,0.1452552375297185,-8.233569256957396e-05
55,healthy,1.0,0.1637445441764874,0.3068530514831231,0.3068530514831231,0.0794408455506307,0.3068530514831231,0.1688911875276881,0.0051466433512006
55,unhealthy,0.87,0.159755954274861,0.0794408455506307,0.3068530514831231,0.3068530514831231,0.3068530514831231,0.1914590641915533,0.0317031099166922
55,balanced,0.16,0.150795711044457,0.1140479686735193,0.2227116984826236,0.2227116984826236,0.4405286343612334,0.1425769152368,-0.0082187958076569
56,healthy,1.0,0.1630675616769776,0.3068530514831231,0.3068530514831231,0.0794408455506307,0.3068530514831231,0.1897784263667125,0.0267108646897349
56,unhealthy,0.89,0.1870886392590624,0.214828897338403,0.2851711026615969,0.2851711026615969,0.214828897338403,0.2171627479275885,0.0300741086685261
56,balanced,0.0,0.1292962952293564,0.3318649045521292,0.0048947626040137,0.4405286343612334,0.2227116984826236,0.1454058260753857,0.0161095308460292
57,healthy,1.0,0.1242313173640979,0.3317025440313111,0.2226027397260273,0.1139921722113502,0.3317025440313111,0.1478626881538715,0.0236313707897736
57,unhealthy,0.98,0.1518075553922707,0.3318649045521292,0.0048947626040137,0.4405286343612334,0.2227116984826236,0.1768568109785738,0.0250492555863031
57,balanced,0.04,0.1216534238850932,0.3617363344051446,0.1828778135048231,0.272508038585209,0.1828778135048231,0.1330532499135985,0.0113998260285053
58,healthy,1.0,0.1599088867185327,0.2992056487202118,0.1028243601059135,0.2007943512797881,0.3971756398940865,0.1515953061855379,-0.0083135805329948
58,unhealthy,0.99,0.1634169959558948,0.2723985536359984,0.3615910004017678,0.2723985536359984,0.0936118923262354,0.1671547974171208,0.0037378014612259
58,balanced,0.01,0.1407797074213787,0.1140479686735193,0.2227116984826236,0.2227116984826236,0.4405286343612334,0.150303547816316,0.0095238403949373
59,healthy,0.83,0.170803800417582,0.2992056487202118,0.3971756398940865,0.1028243601059135,0.2007943512797881,0.1964869148007786,0.0256831143831965
59,unhealthy,0.85,0.1435867251607283,0.0054914881933003,0.1279516749038989,0.3723228995057661,0.4942339373970346,0.1697149545635654,0.0261282294028371
59,balanced,0.08,0.1178876488181594,0.424015009380863,0.2845528455284553,0.1457160725453408,0.1457160725453408,0.1431322672011464,0.025244618382987
60,healthy,0.98,0.1511872988579977,0.2723985536359984,0.2723985536359984,0.0936118923262354,0.3615910004017678,0.1667622561594023,0.0155749573014045
60,unhealthy,1.0,0.1617991529781001,0.3068530514831231,0.3068530514831231,0.3068530514831231,0.0794408455506307,0.161443663054303,-0.0003554899237971
60,balanced,0.0,0.1223994752034138,0.3617363344051447,0.0936495176848874,0.3617363344051447,0.1828778135048231,0.1367302006519512,0.0143307254485373
61,healthy,0.92,0.1924655165682114,0.2852614896988906,0.2852614896988906,0.144215530903328,0.2852614896988906,0.2246087953460242,0.0321432787778128
61,unhealthy,0.92,0.1448097934249948,0.231162632117286,0.3068530514831231,0.3068530514831231,0.1551312649164677,0.1443477093814198,-0.000462084043575
61,balanced,0.54,0.1214700736199676,0.3617363344051446,0.1828778135048231,0.272508038585209,0.1828778135048231,0.1208894673392991,-0.0005806062806684
62,healthy,0.92,0.1667457112698342,0.272508038585209,0.1828778135048231,0.1828778135048231,0.3617363344051447,0.1893145245193635,0.0225688132495292
62,unhealthy,0.78,0.1253892757569842,0.250092216894135,0.16783474732571,0.3319808188860199,0.250092216894135,0.1504876443662468,0.0250983686092626
